gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage
2012R101,2012,1,2012-03-24,Stadium Australia,7:20 PM,38203,Greater Western Sydney,37,Sydney,100,0.0,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R102,2012,1,2012-03-29,M.C.G.,7:45 PM,78285,Richmond,81,Carlton,125,0.0,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R103,2012,1,2012-03-30,M.C.G.,7:50 PM,78466,Hawthorn,137,Collingwood,115,0.0,2,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R104,2012,1,2012-03-31,M.C.G.,1:45 PM,33473,Melbourne,78,Brisbane Lions,119,0.6,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R105,2012,1,2012-03-31,Carrara,3:45 PM,12790,Gold Coast,68,Adelaide,137,0.0,0,False,False,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R106,2012,1,2012-03-31,Subiaco,4:45 PM,34601,Fremantle,105,Geelong,101,0.0,2,False,False,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R107,2012,1,2012-03-31,Docklands,7:45 PM,45818,North Melbourne,102,Essendon,104,0.6,0,False,False,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R108,2012,1,2012-04-01,Docklands,1:10 PM,24977,Western Bulldogs,87,West Coast,136,0.0,0,False,False,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R109,2012,1,2012-04-01,Football Park,4:10 PM,21179,Port Adelaide,89,St Kilda,85,0.0,2,False,False,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012R201,2012,2,2012-04-05,Gabba,7:40 PM,25913,Brisbane Lions,63,Carlton,154,0.0,0,True,True,3,0,1,0,27,0,0.0,0.0,57.56818181818182,75.18181818181819,64.79886363636363,76.4776515151515,67.31513347763348,74.51733405483405
2012R202,2012,2,2012-04-07,Docklands,1:45 PM,34118,Essendon,111,Port Adelaide,86,3.6,2,True,True,2,0,2,1,36,-37,-63.18333333333334,-51.75,71.11363636363636,66.25,70.73257575757576,68.63409090909092,72.444227994228,69.33860028860029
2012R203,2012,2,2012-04-07,S.C.G.,2:10 PM,22242,Sydney,94,Fremantle,81,0.0,2,True,True,4,0,3,1,-403,-3,-64.29629629629629,-29.5,67.70454545454545,66.29545454545455,73.59545454545453,75.57121212121211,75.42106782106781,74.80453643578643
2012R204,2012,2,2012-04-07,Subiaco,2:40 PM,35674,West Coast,166,Melbourne,58,0.0,2,True,False,3,0,0,5,0,130,0.0,-62.108333333333334,71.25,72.68181818181819,78.41363636363634,69.69090909090907,78.4133658008658,69.50496031746033
2012R205,2012,2,2012-04-07,Football Park,7:10 PM,34021,Adelaide,82,Western Bulldogs,64,0.0,2,True,False,2,0,0,2,0,-143,0.0,-64.56944444444444,68.93181818181819,66.8409090909091,74.72803030303031,71.96931818181817,74.5054834054834,70.48897005772007
2012R206,2012,2,2012-04-07,M.C.G.,7:40 PM,57268,Collingwood,85,Richmond,64,3.6,2,False,False,0,0,2,2,-310,-48,-93.13194444444444,-51.0,75.72727272727273,82.22727272727273,76.89886363636364,80.4659090909091,78.05434704184702,77.50719696969696
2012R207,2012,2,2012-04-08,Bellerive Oval,1:10 PM,11127,North Melbourne,183,Greater Western Sydney,54,0.4,2,False,False,3,2,1,2,9,-62,-46.0,-71.40625,73.0,72.72727272727273,70.59318181818183,66.19090909090909,70.56949855699855,65.7119227994228
2012R208,2012,2,2012-04-08,Docklands,4:40 PM,21078,St Kilda,139,Gold Coast,47,0.0,2,False,False,0,0,3,3,330,-8,-39.464285714285715,-65.08518518518518,67.4090909090909,64.29545454545455,73.52272727272728,67.8628787878788,72.24165764790764,65.83943903318904
2012R209,2012,2,2012-04-09,M.C.G.,3:10 PM,69231,Geelong,92,Hawthorn,90,1.4,2,False,True,0,1,2,1,162,-136,-37.25,-102.94444444444446,69.77272727272727,75.4090909090909,75.29545454545453,83.98181818181818,74.39917027417027,82.99751984126986
2012R301,2012,3,2012-04-13,M.C.G.,7:50 PM,84259,Carlton,122,Collingwood,62,0.4,2,True,True,0,0,2,3,199,-31,-0.26111111111111285,-26.483333333333313,66.8409090909091,79.5,75.0628787878788,79.36212121212122,75.5429007860826,80.7707092150274
2012R302,2012,3,2012-04-14,M.C.G.,1:45 PM,49826,Richmond,133,Melbourne,74,0.0,2,False,False,0,0,1,4,53,170,17.771428571428572,-5.694444444444436,77.45454545454545,56.63636363636363,78.94696969696969,70.0,77.77185522810524,69.13581090626543
2012R303,2012,3,2012-04-14,Football Park,1:40 PM,19032,Port Adelaide,83,Sydney,105,0.0,0,False,True,2,0,1,3,99,154,59.75,-6.2386446886446905,59.90909090909091,66.54545454545455,64.63484848484849,72.58409090909093,65.58488594738596,74.7262321012321
2012R304,2012,3,2012-04-14,Subiaco,2:40 PM,33473,Fremantle,64,Brisbane Lions,35,0.0,2,False,False,0,0,1,5,-95,179,-64.38461538461539,17.003150183150176,83.70454545454545,61.52272727272727,75.51590909090909,60.76363636363636,76.85451492951493,63.98412698412698
2012R305,2012,3,2012-04-14,Carrara,7:40 PM,17069,Gold Coast,88,Essendon,105,9.2,0,False,True,3,0,4,5,-181,327,32.994791666666664,-4.088650793650785,54.68181818181818,58.15909090909091,60.059090909090905,64.92159090909091,59.45885547533273,70.77619564778657
2012R306,2012,3,2012-04-14,Docklands,7:40 PM,28971,Western Bulldogs,40,St Kilda,103,0.0,0,False,True,0,0,1,1,-1,-70,30.626984126984127,-41.0,71.36363636363636,65.86363636363636,69.95454545454547,74.72272727272728,70.75745800916256,75.85759127236399
2012R307,2012,3,2012-04-15,Blacktown,1:10 PM,6875,Greater Western Sydney,69,West Coast,150,0.0,0,False,True,4,0,3,4,-172,554,-31.42777777777777,37.72478632478632,66.52272727272727,68.86363636363636,71.25454545454546,67.4590909090909,68.99788260981444,70.3594363969364
